t_s,sinal_filtrado,janela,classificacao
0.0,0.0001257168003351,1,0
0.002,0.0001213532962778,1,0
0.004,0.0001164744209552,1,0
0.006,0.0001112256542404,1,0
0.008,0.0001057487890911,1,0
0.01,0.0001001778657246,1,0
0.012,9.463603021215655e-05,1,0
0.014,8.923323486432954e-05,1,0
0.016,8.40646135281515e-05,1,0
0.018,7.920939183881472e-05,1,0
0.02,7.473029252343112e-05,1,0
0.022,7.067349409599551e-05,1,0
0.024,6.706922742197472e-05,1,0
0.026,6.3933021937715e-05,1,0
0.028,6.126747450351544e-05,1,0
0.03,5.9064283851270975e-05,1,0
0.032,5.730624686285028e-05,1,0
0.034,5.596898066948247e-05,1,0
0.036,5.502228699103482e-05,1,0
0.038,5.443123760996598e-05,1,0
0.04,5.415715297359572e-05,1,0
0.042,5.415862848274383e-05,1,0
0.044,5.439265538411081e-05,1,0
0.046,5.481575680729236e-05,1,0
0.048,5.538499628052146e-05,1,0
0.05,5.605875732080536e-05,1,0
0.052,5.679730868872004e-05,1,0
0.054,5.756327675776148e-05,1,0
0.056,5.832216641312188e-05,1,0
0.058,5.904299091836582e-05,1,0
0.06,5.969894401142106e-05,1,0
0.062,6.026795126493445e-05,1,0
0.064,6.073292317237294e-05,1,0
0.066,6.108160812627089e-05,1,0
0.068,6.130608064155944e-05,1,0
0.07,6.140203672285119e-05,1,0
0.072,6.136812871548777e-05,1,0
0.0739999999999999,6.120551576574284e-05,1,0
0.076,6.091766154952348e-05,1,0
0.078,6.0510255171825694e-05,1,0
0.08,5.9991041188661486e-05,1,0
0.082,5.936936338740132e-05,1,0
0.084,5.865534723105694e-05,1,0
0.0859999999999999,5.785881240556273e-05,1,0
0.0879999999999999,5.698814112230976e-05,1,0
0.0899999999999999,5.6049366368537306e-05,1,0
0.092,5.504567094376004e-05,1,0
0.094,5.397734421276449e-05,1,0
0.096,5.28421078260161e-05,1,0
0.098,5.1635665736567534e-05,1,0
0.1,5.035237826432777e-05,1,0
0.102,4.898606050498106e-05,1,0
0.104,4.753098203973619e-05,1,0
0.106,4.598313562442565e-05,1,0
0.108,4.4341739896283e-05,1,0
0.11,4.2610791553591296e-05,1,0
0.112,4.080036278778618e-05,1,0
0.114,3.892732080487871e-05,1,0
0.116,3.7015250461468585e-05,1,0
0.118,3.5093545837105865e-05,1,0
0.12,3.319582076166589e-05,1,0
0.122,3.135789551806622e-05,1,0
0.124,2.9615612204750128e-05,1,0
0.126,2.800264246306689e-05,1,0
0.128,2.6548358577896048e-05,1,0
0.13,2.5275821740969508e-05,1,0
0.132,2.4200013343282027e-05,1,0
0.134,2.332653031206857e-05,1,0
0.136,2.265099686499038e-05,1,0
0.138,2.2159375857441547e-05,1,0
0.14,2.182921770342857e-05,1,0
0.142,2.1631715486229332e-05,1,0
0.144,2.1534295208959956e-05,1,0
0.146,2.1503406626872768e-05,1,0
0.148,2.1507211845143176e-05,1,0
0.15,2.151796232223764e-05,1,0
0.152,2.151393620836232e-05,1,0
0.154,2.1480826008750457e-05,1,0
0.156,2.1412447064033275e-05,1,0
0.158,2.131065696315864e-05,1,0
0.16,2.1184477256863565e-05,1,0
0.162,2.104855494643956e-05,1,0
0.164,2.0921218422509407e-05,1,0
0.166,2.0822424540783657e-05,1,0
0.168,2.077185672541981e-05,1,0
0.17,2.078733625629808e-05,1,0
0.172,2.088358008156533e-05,1,0
0.174,2.107122917432105e-05,1,0
0.176,2.135604121330889e-05,1,0
0.178,2.1738209857641767e-05,1,0
0.18,2.2211887684503104e-05,1,0
0.182,2.276506309230037e-05,1,0
0.184,2.337991859085592e-05,1,0
